"cost" "thr" "target.size" "theta" "h2" "Ne" "mu" "rho" "b" "gamma" "env.sd" "norm.prev"
"103" 0.01 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 NA
"104" 0.04 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.254649035897077
"105" 0.07 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.10621848269894
"106" 0.1 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0660312658310224
"107" 0.13 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0473437617659463
"108" 0.16 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0366373141995888
"109" 0.19 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0297404780116237
"110" 0.22 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0249471836699451
"111" 0.25 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0214330871934109
"112" 0.28 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0187525244793746
"113" 0.31 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0166441050896624
"114" 0.34 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0149447072723583
"115" 0.37 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0135474311515181
"116" 0.4 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.012379390503547
"117" 0.43 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0113892352896
"118" 0.46 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0105397773509596
"119" 0.49 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00980344389246834
"120" 0.52 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00915937198177774
"121" 0.55 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.0085914935686574
"122" 0.58 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00808723902191621
"123" 0.61 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00763663849194318
"124" 0.64 5862.44615027126 1e+05 0.004 0.5 1000 1e-06 0.0293122307513563 0.941375538497287 3.5 13.7697087633566 0.00723168590327494
