as Ls bs rhos al Ll bl rhol bt rhot Ne u C Ve maxG bigU thr
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.83 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.89 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 0.95 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9510014.0169122 0.474238419511475 0.262880790244263 34.3568806019523 14262 1 0 0.500000000000022 0.249999999999989 1000 1e-08 1 367.969731211309 20000023.6961145 0.100000118480572 5000000.99999978
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.05 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.11 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.17 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.23 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.29 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.35 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.41 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.47 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.53 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.59 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.65 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.71 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.77 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.83 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.89 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 0.95 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9720678.00335481 0.485632586711223 0.257183706644388 53.551113153782 5216 1 0 0.500000000000128 0.249999999999936 1000 1e-08 1 366.290054813846 20000001.2191299 0.100000006095649 5000000.99999872
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.05 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.11 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.17 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.23 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.29 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.35 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.41 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.47 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.53 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.59 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.65 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.71 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.77 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.83 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.89 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 0.95 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9783793.9884218 0.488950809275321 0.255524595362339 67.3371667829362 3211 1 0 0.500000000000006 0.249999999999997 1000 1e-08 1 365.790457304297 20000027.2619236 0.100000136309618 5000000.99999994
1 9811463.15896152 0.490392011977017 0.254803994011491 81.2491834708607 2320 1 0 0.5 0.25 1000 1e-08 0.05 365.571702765324 19999922.5292278 0.0999996126461392 5000001
1 9811463.15896152 0.490392011977017 0.254803994011491 81.2491834708607 2320 1 0 0.5 0.25 1000 1e-08 0.11 365.571702765324 19999922.5292278 0.0999996126461392 5000001
1 9811463.15896152 0.490392011977017 0.254803994011491 81.2491834708607 2320 1 0 0.5 0.25 1000 1e-08 0.17 365.571702765324 19999922.5292278 0.0999996126461392 5000001
1 9811463.15896152 0.490392011977017 0.254803994011491 81.2491834708607 2320 1 0 0.5 0.25 1000 1e-08 0.23 365.571702765324 19999922.5292278 0.0999996126461392 5000001
1 9811463.15896152 0.490392011977017 0.254803994011491 81.2491834708607 2320 1 0 0.5 0.25 1000 1e-08 0.29 365.571702765324 19999922.5292278 0.0999996126461392 5000001
1 9811463.15896152 0.490392011977017 0.254803994011491 81.2491834708607 2320 1 0 0.5 0.25 1000 1e-08 0.35 365.571702765324 19999922.5292278 0.0999996126461392 5000001
1 9811463.15896152 0.490392011977017 0.254803994011491 81.2491834708607 2320 1 0 0.5 0.25 1000 1e-08 0.41 365.571702765324 19999922.5292278 0.0999996126461392 5000001
1 9811463.15896152 0.490392011977017 0.254803994011491 81.2491834708607 2320 1 0 0.5 0.25 1000 1e-08 0.47 365.571702765324 19999922.5292278 0.0999996126461392 5000001
1 9811463.15896152 0.490392011977017 0.254803994011491 81.2491834708607 2320 1 0 0.5 0.25 1000 1e-08 0.53 365.571702765324 19999922.5292278 0.0999996126461392 5000001
